route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
64-95,          0,64,"Payne - Maryland - White Bear Av - Maplewood",,3,http://www.metrotransit.org/route/64,,000000
65-95,          0,65,"Dale St - Co Rd B - Rosedale",,3,http://www.metrotransit.org/route/65,,000000
67-95,          0,67,"W Minnehaha - Raymond Sta - Hiawatha",,3,http://www.metrotransit.org/route/67,,000000
68-95,          0,68,"Jackson St - Robert St - 5th Av - Inver Hills",,3,http://www.metrotransit.org/route/68,,000000
70-95,          0,70,"St Clair Av - W 7St - Burns Av - Sunray",,3,http://www.metrotransit.org/route/70,,000000
71-95,          0,71,"Little Canada - Edgerton - Concord - Inver Hills",,3,http://www.metrotransit.org/route/71,,000000
74-95,          0,74,"46St - Randolph - W 7St - E 7St - Sunray",,3,http://www.metrotransit.org/route/74,,000000
75-95,          0,75,"Stryker - Robert - Parkview Plaza - Lake Cove Apts",,3,http://www.metrotransit.org/route/75,,000000
80-95,          2,80,"Maplewood - White Bear Av - Sunray",,3,http://www.metrotransit.org/route/80,,000000
83-95,          2,83,"HarMar Target - Lexington Av",,3,http://www.metrotransit.org/route/83,,000000
84-95,          0,84,"Rosedale - Snelling - 46th St LRT - Sibley Plaza",,3,http://www.metrotransit.org/route/84,,000000
87-95,          2,87,"Rosedale - U of M St Paul - Cleveland Av",,3,http://www.metrotransit.org/route/87,,000000
94-95,          0,94,"Express - Mpls - St Paul",,3,http://www.metrotransit.org/route/94,,000000
111-95,          0,111,"Ltd Stop - 66th St - Chicago - Cedar - U of M",,3,http://www.metrotransit.org/route/111,,000000
113-95,          0,113,"Ltd Stop - Grand Av S - Lyndale Av S - U of M",,3,http://www.metrotransit.org/route/113,,000000
114-95,          0,114,"Ltd Stop - Excelsior Blvd - Uptown - U of M",,3,http://www.metrotransit.org/route/114,,000000
115-95,          0,115,"Ltd Stop - Grand Av S - Uptown - U of M",,3,http://www.metrotransit.org/route/115,,000000
118-95,          0,118,"Ltd Stop - Central Av - Lowry Av - U of M",,3,http://www.metrotransit.org/route/118,,000000
120-95,         11,120,"U of M Stadium Super Shuttle",,3,http://www.metrotransit.org/route/120,,000000
121-83,         11,121,"U of M - Campus Connector",,3,http://www.metrotransit.org/route/121,,000000
121-95,         11,121,"U of M - Campus Connector",,3,http://www.metrotransit.org/route/121,,000000
122-83,         11,122,"U of M - University Ave Circulator",,3,http://www.metrotransit.org/route/122,,000000
122-95,         11,122,"U of M - University Ave Circulator",,3,http://www.metrotransit.org/route/122,,000000
123-95,         11,123,"U of M - 4th Street Circulator",,3,http://www.metrotransit.org/route/123,,000000
124-95,         11,124,"U of M - Saint Paul Circulator",,3,http://www.metrotransit.org/route/124,,000000
129-95,          0,129,"U of M - Huron Shuttle",,3,http://www.metrotransit.org/route/129,,000000
133-95,          0,133,"Ltd Stop - Bloomington Av - Chicago Av - Mpls",,3,http://www.metrotransit.org/route/133,,000000
134-95,          0,134,"Ltd Stop - Cleveland Av - Cretin Av - Mpls",,3,http://www.metrotransit.org/route/134,,000000
135-95,          0,135,"Ltd Stop - Grand Av S - 35th St - 36th St - Mpls",,3,http://www.metrotransit.org/route/135,,000000
141-95,          0,141,"Ltd Stop - New Brighton - Johnson St - Mpls",,3,http://www.metrotransit.org/route/141,,000000
146-95,          0,146,"Ltd Stop -  Vernon Av - 50th St - Mpls",,3,http://www.metrotransit.org/route/146,,000000
156-95,          0,156,"Express - 58th St - 56th St - Diamond Lake - Mpls",,3,http://www.metrotransit.org/route/156,,000000
219-95,          2,219,"Maplewood - Century Av - Hadley Av - Sunray",,3,http://www.metrotransit.org/route/219,,000000
223-95,          2,223,"Rosedale - Little Canada - Maplewood",,3,http://www.metrotransit.org/route/223,,000000
225-95,          2,225,"Deluxe - Roseville - Coventry - Rosedale",,3,http://www.metrotransit.org/route/225,,000000
227-95,          2,227,"Target Shoreview - Victoria - Rosedale",,3,http://www.metrotransit.org/route/227,,000000
250-95,          0,250,"Express - St Josephs P&R - 95Av P&R - Mpls",,3,http://www.metrotransit.org/route/250,,000000
252-95,          0,252,"95AV P&R- U of M",,3,http://www.metrotransit.org/route/252,,000000
261-95,          0,261,"Express - Shoreview - Roseville - Mpls",,3,http://www.metrotransit.org/route/261,,000000
262-95,          0,262,"Ltd Stop - 95Av P&R - Rice St - St Paul",,3,http://www.metrotransit.org/route/262,,000000
263-95,          0,263,"Express - Rice St Park and Ride - Roseville",,3,http://www.metrotransit.org/route/263,,000000
264-95,          0,264,"Express - Co Rd C Park and Ride - Roseville",,3,http://www.metrotransit.org/route/264,,000000
265-95,          0,265,"Express - White Bear Lake - Maplewood - St Paul",,3,http://www.metrotransit.org/route/265,,000000
270-95,          0,270,"Express - Mahtomedi - Maplewood - Minneapolis",,3,http://www.metrotransit.org/route/270,,000000
272-95,          0,272,"Express - Maplewood - Roseville - U of M",,3,http://www.metrotransit.org/route/272,,000000
275-95,          0,275,"Express - Forest Lake-Running Aces - St Paul",,3,http://www.metrotransit.org/route/275,,000000
288-95,          0,288,"Express - Forest Lake - Mpls",,3,http://www.metrotransit.org/route/288,,000000
294-95,          0,294,"Express - Oakdale - Stillwater - St Paul",,3,http://www.metrotransit.org/route/294,,000000
350-95,          2,350,"Ltd Stop - Sunray - McKnight - St Paul",,3,http://www.metrotransit.org/route/350,,000000
351-95,          0,351,"Express - Woodbury - St Paul",,3,http://www.metrotransit.org/route/351,,000000
353-95,          0,353,"Express - Woodbury - St Paul - Mpls",,3,http://www.metrotransit.org/route/353,,000000
355-95,          0,355,"Express - Woodbury - Mpls",,3,http://www.metrotransit.org/route/355,,000000
