ID,CALENDAR_ID,Literal_Time_start,LONGITUDE_start,LATITUDE_start,Literal_Time_end,LONGITUDE_end,LATITUDE_end,ROUTE_ABBR,DIRECTION,SERV_DAY_start,SERV_DAY_end,MESSAGE_COUNT
120161001-2639-17,120161001,2016-10-01 20:51:14.427000,-931682010,450122611,2016-10-01 21:35:03.677000,-932205437,449213177,921.0,1.0,Saturday,Saturday,60
120161001-2639-18,120161001,2016-10-01 21:35:15.793000,-932208170,449209082,2016-10-01 22:22:23.847000,-931685542,450125307,921.0,4.0,Saturday,Saturday,82
120161001-2639-19,120161001,2016-10-01 22:22:51.740000,-931682718,450122608,2016-10-01 23:06:07.847000,-932204685,449212753,921.0,1.0,Saturday,Saturday,90
120161001-2639-20,120161001,2016-10-01 23:06:54.473000,-932208573,449209729,2016-10-01 23:52:27.767000,-931684424,450124722,921.0,4.0,Saturday,Saturday,94
120161001-2639-21,120161001,2016-10-01 23:53:03.040000,-931682749,450122394,2016-10-02 00:41:12.117000,-932204575,449212861,921.0,1.0,Saturday,Saturday,77
120161001-2639-22,120161001,2016-10-02 00:41:40.227000,-932208429,449209433,2016-10-02 01:32:14.557000,-931685036,450125734,921.0,4.0,Saturday,Saturday,84
120161001-2639-23,120161001,2016-10-02 01:32:47.767000,-931681546,450122636,2016-10-02 02:11:25.600000,-932205473,449212472,921.0,1.0,Saturday,Saturday,64
120161001-2639-24,120161001,2016-10-02 02:11:49.593000,-932209488,449210587,2016-10-02 03:02:54.047000,-931685153,450125308,921.0,4.0,Saturday,Saturday,92
120161001-2639-25,120161001,2016-10-02 03:03:23.450000,-931682342,450122496,2016-10-02 03:42:36.367000,-932204825,449212913,921.0,1.0,Saturday,Saturday,81
120161001-2639-26,120161001,2016-10-02 03:43:28.083000,-932208528,449209366,2016-10-02 04:17:32.070000,-931682411,450127124,921.0,4.0,Saturday,Saturday,79
120161001-2639-27,120161001,2016-10-02 04:18:20.103000,-931680782,450122883,2016-10-02 05:12:37.340000,-932204745,449212655,921.0,1.0,Saturday,Saturday,69
