trip_id,service_id_start,trip_headsign_start,dir_sign_start,SERV_DAY_start,stop_lat_start,stop_lon_start,arrival_time_start,departure_time_start,stop_id_start,stop_name_start,stop_desc_start,stop_lat_end,stop_lon_end,arrival_time_end,departure_time_end,stop_id_end,stop_name_end,stop_desc_end
9558287-AUG16-MVS-BUS-Sunday-01,AUG16-MVS-BUS-Sunday-01,Northbound A LINE/Rosedale/Rapid,4.0,Sunday,44.921353,-93.220574,22:14:00,22:14:00,51544,46th St Station Gate A,Near side N,45.012498,-93.168526,22:40:00,22:40:00,52531,Rosedale Transit Center  Gate A,Near side S
9552553-AUG16-MVS-BUS-Saturday-01,AUG16-MVS-BUS-Saturday-01,Northbound A LINE/Rosedale/Rapid,4.0,Saturday,44.921353,-93.220574,22:14:00,22:14:00,51544,46th St Station Gate A,Near side N,45.012498,-93.168526,22:41:00,22:41:00,52531,Rosedale Transit Center  Gate A,Near side S
9552650-AUG16-MVS-BUS-Saturday-01,AUG16-MVS-BUS-Saturday-01,Southbound A LINE/46 ST Station/Rapid,1.0,Saturday,45.012498,-93.168526,22:19:00,22:19:00,52531,Rosedale Transit Center  Gate A,Near side S,44.921353,-93.220574,22:45:00,22:45:00,51544,46th St Station Gate A,Near side N
9558382-AUG16-MVS-BUS-Sunday-01,AUG16-MVS-BUS-Sunday-01,Southbound A LINE/46 ST Station/Rapid,1.0,Sunday,45.012498,-93.168526,22:19:00,22:19:00,52531,Rosedale Transit Center  Gate A,Near side S,44.921353,-93.220574,22:45:00,22:45:00,51544,46th St Station Gate A,Near side N
9541744-AUG16-MVS-BUS-Weekday-01,AUG16-MVS-BUS-Weekday-01,Southbound A LINE/46 ST Station/Rapid,1.0,Weekday,45.012498,-93.168526,22:24:00,22:24:00,52531,Rosedale Transit Center  Gate A,Near side S,44.921353,-93.220574,22:50:00,22:50:00,51544,46th St Station Gate A,Near side N
9541643-AUG16-MVS-BUS-Weekday-01,AUG16-MVS-BUS-Weekday-01,Northbound A LINE/Rosedale/Rapid,4.0,Weekday,44.921353,-93.220574,22:24:00,22:24:00,51544,46th St Station Gate A,Near side N,45.012498,-93.168526,22:51:00,22:51:00,52531,Rosedale Transit Center  Gate A,Near side S
9552554-AUG16-MVS-BUS-Saturday-01,AUG16-MVS-BUS-Saturday-01,Northbound A LINE/Rosedale/Rapid,4.0,Saturday,44.921353,-93.220574,22:44:00,22:44:00,51544,46th St Station Gate A,Near side N,45.012498,-93.168526,23:11:00,23:11:00,52531,Rosedale Transit Center  Gate A,Near side S
9541745-AUG16-MVS-BUS-Weekday-01,AUG16-MVS-BUS-Weekday-01,Southbound A LINE/46 ST Station/Rapid,1.0,Weekday,45.012498,-93.168526,22:44:00,22:44:00,52531,Rosedale Transit Center  Gate A,Near side S,44.921353,-93.220574,23:10:00,23:10:00,51544,46th St Station Gate A,Near side N
9558288-AUG16-MVS-BUS-Sunday-01,AUG16-MVS-BUS-Sunday-01,Northbound A LINE/Rosedale/Rapid,4.0,Sunday,44.921353,-93.220574,22:45:00,22:45:00,51544,46th St Station Gate A,Near side N,45.012498,-93.168526,23:10:00,23:10:00,52531,Rosedale Transit Center  Gate A,Near side S
9558383-AUG16-MVS-BUS-Sunday-01,AUG16-MVS-BUS-Sunday-01,Southbound A LINE/46 ST Station/Rapid,1.0,Sunday,45.012498,-93.168526,22:49:00,22:49:00,52531,Rosedale Transit Center  Gate A,Near side S,44.921353,-93.220574,23:15:00,23:15:00,51544,46th St Station Gate A,Near side N
9552651-AUG16-MVS-BUS-Saturday-01,AUG16-MVS-BUS-Saturday-01,Southbound A LINE/46 ST Station/Rapid,1.0,Saturday,45.012498,-93.168526,22:49:00,22:49:00,52531,Rosedale Transit Center  Gate A,Near side S,44.921353,-93.220574,23:15:00,23:15:00,51544,46th St Station Gate A,Near side N
9541644-AUG16-MVS-BUS-Weekday-01,AUG16-MVS-BUS-Weekday-01,Northbound A LINE/Rosedale/Rapid,4.0,Weekday,44.921353,-93.220574,22:54:00,22:54:00,51544,46th St Station Gate A,Near side N,45.012498,-93.168526,23:21:00,23:21:00,52531,Rosedale Transit Center  Gate A,Near side S
9541746-AUG16-MVS-BUS-Weekday-01,AUG16-MVS-BUS-Weekday-01,Southbound A LINE/46 ST Station/Rapid,1.0,Weekday,45.012498,-93.168526,22:59:00,22:59:00,52531,Rosedale Transit Center  Gate A,Near side S,44.921353,-93.220574,23:25:00,23:25:00,51544,46th St Station Gate A,Near side N
9552555-AUG16-MVS-BUS-Saturday-01,AUG16-MVS-BUS-Saturday-01,Northbound A LINE/Rosedale/Rapid,4.0,Saturday,44.921353,-93.220574,23:14:00,23:14:00,51544,46th St Station Gate A,Near side N,45.012498,-93.168526,23:41:00,23:41:00,52531,Rosedale Transit Center  Gate A,Near side S
